Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	Prot	eProt1	eProt2	Age	eAge1	eAge2	cutoff	class	type	cat1	cat2	e_M	e_R	e_Teff	e_L	mode
23	KIC10355856	1.347	0.0558659108938537	0.0530754180388624	1.738	0.0270185121722126	0.0264007575648882	6558	56	56	5.057	0.435711596721004	0.435711596721004	-0.152	0.1	0.1	4.087	0.00721110255092798	0.00721110255092798	0.2561	0.00329900136404943	0.00322285618667666	4.47	0.31	0.31	2.443	0.311854132568417	0.325419728965532	3.4953472	MS	F	serenelli17	garcia14	4.0438503686977	1.5368029268441	0.853918877706618	8.61600942695282	Ast
25	KIC10462940	1.239	0.05060632371552	0.0522015325445528	1.271	0.0174928556845359	0.0174928556845359	6265	48	48	2.189	0.183679028296869	0.183679028296869	0.112	0.099	0.099	4.322	0.00721110255092798	0.00721110255092798	0.6025	0.00642208346255325	0.00644596532724153	9.82	1.1	1.1	1.726	0.977855306269798	0.912982475187777	3.6874087	MS	F	serenelli17	garcia14	4.14882390072933	1.37630650547096	0.766161213088587	8.39100174951434	Ast
26	KIC10491771	1.299	0.0551543289325507	0.0537587202228624	1.511	0.043081318457076	0.0412310562561766	6601	48	48	3.72	0.300924684209658	0.300924684209658	-0.101	0.1	0.1	4.192	0.0189736659610103	0.0189736659610103	0.3723	0.0134728505150172	0.0452306721263348	3.86	0.68	0.68	2.181	0.448475194408788	0.449588700925635	3.4671607	MS	F	serenelli17	garcia14	4.19218818919989	2.78995283630882	0.727162551128617	8.08937323144242	Ast
27	KIC10514430	1.086	0.046	0.046	1.603	0.023	0.023	5784	98	98	2.619	0.158	0.158	-0.114	0.0721110255092798	0.0721110255092798	4.063	0.007	0.007	0.263475605425751	0.00142035366806335	0.00142035366806335	43.4168	0.4375	0.4375	8.027	0.742	0.742	4.0027042	MS	G	silva15	reinhold13	4.23572744014733	1.43480973175296	1.69432918395574	6.03283696067201	Ast
28	KIC10518551	1.25	0.0523259018078045	0.0574891294072192	2.08	0.0366196668472011	0.0382753184180093	6242	60	60	7.12	0.615406327362857	0.615406327362857	-0.267	0.101	0.101	3.898	0.00894427190999916	0.0098488578017961	0.1388	0.0037746317701201	0.00367560457612078	20.5	2.44	2.44	3.873	0.479504953050539	0.422242821134948	3.7024852	MS	F	serenelli17	garcia14	4.39260124860095	1.8003602227214	0.961230374879846	8.64334729442215	Ast
30	KIC10593351	1.59	0.0604400529450463	0.0586003412959345	3.071	0.0535350352572967	0.0535350352572967	5927	81	81	11.41	0.97035638213164	0.97035638213164	0.151	0.1	0.1	3.665	0.0058309518948453	0.0058309518948453	0.05494	0.00128315063807801	0.00128497315147049	17.73	1.41	1.41	2.1	0.252578700606365	0.250840586827571	3.9089677	PMS	G	serenelli17	garcia14	3.74340862393021	1.74324439131542	1.36662729880209	8.50443805549203	Ast
31	KIC10610027	1.329	0.0626258732474047	0.0551543289325507	1.48	0.057567351858497	0.0528109837060436	6704	58	58	5.015	0.1028789500582	0.1028789500582	-0.041	0.1	0.1	4.222	0.0253179778023443	0.0263058928759318	0.4115	0.0413831059854139	0.0375354853571923	1.94	0.24	0.24	1.674	0.419329226264996	0.44872820281324	3.3996442	MS	F	serenelli17	garcia14	4.43115884800434	3.72899782312637	0.865155131264916	2.05142472698305	Ast
33	KIC10655953	1.262	0.0483321838943783	0.0501597448159378	1.267	0.0269258240356725	0.026	6594	61	61	2.301	0.193171468513318	0.193171468513318	-0.073	0.099	0.099	4.333	0.012369316876853	0.0133416640641263	0.6211	0.030470144469628	0.0204480317879252	6.49	0.57	0.57	0.805	0.656064021266218	0.602561200211232	3.4717492	MS	F	serenelli17	garcia14	3.90221587600301	2.08862762571715	0.925083409159842	8.39510945299078	Ast
34	KIC10712891	1.505	0.097948966303887	0.133794618725867	3.059	0.113088460949825	0.13186735759846	5358	109	109	NA	NA	NA	-0.049	0.099	0.099	3.641	0.0130384048104053	0.0130384048104053	0.05241	0.0031004476838031	0.00287463594912469	49.41	3.24	3.24	2.278	0.926633692458892	0.461238549993385	4.2819472	PMS	G	serenelli17	garcia14	7.69912242623766	4.0038545038948	2.03434117207913	100	Ast
35	KIC10717090	1.22	0.095	0.120880105890093	1.546	0.0585234995535981	0.0593632883186233	5817	74	74	2.651	0.221827032423064	0.221827032423064	0.238	0.1	0.1	4.141	0.0223606797749979	0.0241660919471891	0.3257	0.0444637450626912	0.013675961574968	21.21	2.37	2.37	5.096	2.58679492809152	1.82728213475643	3.9810727	MS	G	serenelli17	garcia14	8.84754532336445	3.81263867633316	1.2721334020973	8.36767379943659	Ast
36	KIC10727922	1.212	0.0658559033041078	0.0700071424927486	1.917	0.0756439025963098	0.0729177618965366	6319	66	66	4.764	0.413800752012321	0.413800752012321	-0.304	0.1	0.1	3.954	0.0233452350598575	0.0243310501211929	0.171	0.0153607220207906	0.0144576927965703	11.45	0.91	0.91	4.063	0.716776813241053	0.628458431401791	3.6520117	MS	F	serenelli17	garcia14	5.60491113023335	3.87484779584889	1.04446906156037	8.68599395491857	Ast
37	KIC10731424	1.437	0.0823286098510111	0.0763806258157132	2.55	0.0974935895328508	0.0878179936004006	6432	65	65	10.5	0.942460199831208	0.942460199831208	-0.129	0.101	0.101	3.782	0.0182482875908947	0.0192353840616713	0.08646	0.006158342715374	0.00600878989481243	5.12	0.55	0.55	2.435	0.301802915824218	0.271400073691958	3.5779402	MS	F	serenelli17	garcia14	5.5222420204149	3.63356045359317	1.01057213930348	8.97581142696389	Ast
38	KIC10732098	1.121	0.0559464029227975	0.0603738353924943	1.778	0.0518941229813165	0.0509901951359278	5796	67	67	3.341	0.281171050181982	0.281171050181982	-0.01	0.1	0.1	3.987	0.014560219778561	0.01552417469626	0.199	0.0108820487041733	0.0107871675615057	25.57	6.04	6.04	6.92	1.11125919568749	1.02195156440998	3.9948382	MS	G	serenelli17	garcia14	5.18823542887118	2.8932597895738	1.1559696342305	8.41577522244784	Ast
39	KIC10794845	1.142	0.054644304369257	0.0554707129934347	1.143	0.0480520551069359	0.0441474801092882	6398	55	55	1.717	0.140750470612926	0.140750470612926	-0.195	0.1	0.1	4.378	0.0294278779391243	0.0323882694814033	0.7723	0.0511312213818524	0.0503896705684806	1.4	0.08	0.08	1.411	1.47240891059515	1.40672420893365	3.6002272	MS	F	serenelli17	garcia14	4.82114787052065	4.03322551252074	0.859643638637074	8.19746479982096	Ast
40	KIC10909629	1.302	0.116284134773408	0.105342299196477	2.112	0.0651920240520265	0.0581893461039046	6501	61	61	7.422	0.607339207044955	0.607339207044955	-0.297	0.101	0.101	3.903	0.0134536240470737	0.0116619037896906	0.1378	0.00183656009975171	0.001801517415958	12.37	1.22	1.22	3.103	0.635472265327134	0.672476765397883	3.5327107	MS	F	serenelli17	garcia14	8.51099976842873	2.9209604677067	0.938317181972004	8.1829588661406	Ast
41	KIC10923629	1.688	0.0787718223732319	0.213459598050779	2.578	0.0431856457633784	0.0992975326984513	6195	87	87	9.692	0.806334524261021	0.806334524261021	0.157	0.1	0.1	3.84	0.00989949493661167	0.0211896201004171	0.09807	0.00167651573210632	0.00167574699761032	5.7	1.05	1.05	1.817	0.938255828652293	0.361885340957602	3.7332937	MS	F	serenelli17	garcia14	8.65614396990553	2.76344411291369	1.4043583535109	8.3195885705842	Ast
42	KIC10959362	1.406	0.0908019823572151	0.09037698822156	2.307	0.0782368199762746	0.0734098086089318	5806	94	94	6.758	0.610995345083011	0.610995345083011	0.419	0.102	0.102	3.859	0.0183847763108502	0.0183847763108502	0.1142	0.00711229470705482	0.00695918278248244	16.31	1.42	1.42	3.666	0.432961892087514	0.40224495024798	3.9882832	PMS	G	serenelli17	garcia14	6.44306438758091	3.28666295156494	1.61901481226318	9.04106755079922	Ast
44	KIC10971974	1.057	0.0595399025864168	0.0586685605754905	1.19	0.0338378486313773	0.0328937684067971	6030	58	58	1.647	0.136094550586722	0.136094550586722	-0.077	0.102	0.102	4.311	0.0186815416922694	0.0186815416922694	0.6314	0.0379219561863573	0.0378822961421295	26.86	4.04	4.04	5.256	1.71767895719776	1.60910440929108	3.8414512	MS	F	serenelli17	garcia14	5.59169645988209	2.80384945538548	0.961857379767828	8.26317854199892	Ast
45	KIC10972252	1.338	0.0650691939399898	0.0637024332345319	2.285	0.0536003731330296	0.0520096144957834	6237	60	60	8.655	0.740800397459084	0.740800397459084	-0.136	0.101	0.101	3.845	0.0125299640861417	0.0125299640861417	0.1118	0.00422649263574421	0.00424203818936134	12.63	0.97	0.97	3.302	0.593455137310311	0.596637243222379	3.7057627	MS	F	serenelli17	garcia14	4.81209369112562	2.31094064833289	0.962000962000962	8.55921891922686	Ast
46	KIC11026764	1.196	0.0432666153055679	0.054561891462815	2.058	0.0333016516106934	0.0388329756778952	5722	57	57	3.431	0.329481915294296	0.329481915294296	-0.108	0.101	0.101	3.888	0.00670820393249937	0.00670820393249937	0.1373	0.00277878048791192	0.00275476931883597	32.36	2.88	2.88	5.561	0.613013050432044	0.517293920319967	4.0433452	PMS	G	serenelli17	garcia14	4.08982051707286	1.75254196522324	0.996155190492835	9.60308700945193	Ast
47	KIC11075448	1.326	0.0594138031100518	0.0572800139664787	1.564	0.0474341649025257	0.0455411901469428	6470	68	68	4.039	0.310442640064444	0.310442640064444	0.029	0.1	0.1	4.171	0.0196468827043885	0.0206155281280883	0.3469	0.0350600427980343	0.0106493709203877	3.37	0.45	0.45	2.409	0.493360922651967	0.501527666235872	3.5530312	MS	F	serenelli17	garcia14	4.40021934677717	2.97235789800091	1.05100463678516	7.68612627047399	Ast
48	KIC11081729	1.298	0.0587281874401041	0.0536003731330296	1.411	0.0264007575648882	0.0241867732448957	6605	51	51	2.588	0.13797264550973	0.13797264550973	-0.139	0.099	0.099	4.251	0.00721110255092798	0.00640312423743285	0.4618	0.00716132285265788	0.00719148002847814	2.74	0.31	0.31	1.606	0.40136766187624	0.400124980474851	3.4645387	MS	F	serenelli17	garcia14	4.32698615458912	1.79261271473366	0.772142316426949	5.3312459625089	Ast
49	KIC11082784	1.151	0.0577754273026172	0.0577754273026172	2.042	0.0569209978830308	0.0559732078766261	5923	62	62	4.841	0.419267125038331	0.419267125038331	-0.259	0.101	0.101	3.877	0.0133416640641263	0.0143178210632764	0.1347	0.00689809611414628	0.00681015807452367	31.93	5.05	5.05	5.414	0.735788692492621	0.674176534744424	3.9115897	PMS	G	serenelli17	garcia14	5.01958534340722	2.76430474435987	1.04676684112781	8.66075449366517	Ast
50	KIC11083308	1.305	0.0824621125123532	0.0765506368360186	2.084	0.0827345151674922	0.0765375724726098	6234	65	65	6.828	0.577672495564469	0.577672495564469	-0.042	0.1	0.1	3.915	0.022561028345357	0.022561028345357	0.1439	0.011615083340209	0.0111598280004667	16.77	1.69	1.69	3.64	0.558434418710022	0.567691817802582	3.7077292	MS	F	serenelli17	garcia14	6.09244250376903	3.82130728503124	1.04266923323709	8.46034703521484	Ast
51	KIC11098033	1.38	0.21	0.14	2.26	0.12	0.09	6358	66	66	6.502	0.578005386824734	0.578005386824734	-0.14	0.2	0.15	3.877	0.024	0.027	0.1212	0.0087	0.0082	23.78	2.82	2.82	3.7	1	1.1	3.6264472	MS	F	C14sdss	garcia14	12.6811594202899	4.64601769911504	1.03806228373702	8.88965528798423	Ast
52	KIC11127479	1.162	0.0572450871254468	0.0608358446970205	1.372	0.0237065391822594	0.0245967477524977	5998	57	57	2.257	0.193984783998536	0.193984783998536	0.2	0.0721110255092798	0.0721110255092798	4.228	0.01	0.010816653826392	0.449	0.00875885386337733	0.00854720539123754	17.64	1.84	1.84	4.743	1.44144545509013	1.2333531529939	3.8624272	MS	G	serenelli17	garcia14	5.08093510423698	1.76032386788473	0.950316772257419	8.59480655731216	Ast
53	KIC11133100	1.4	0.25	0.17	2.37	0.14	0.13	6222	51	51	15.06	1.3237011601931	1.3237011601931	0	0.15	0.15	3.849	0.025	0.027	0.1091	0.0088	0.0083	9.03	0.75	0.75	3.8	1	1.4	3.7155952	MS	F	C14sdss	garcia14	15	5.69620253164557	0.819672131147541	8.78951633594357	Ast
54	KIC11193681	1.364	0.0480208288141719	0.05060632371552	2.4	0.0403608721412211	0.0418688428309166	5697	77	77	5.823	0.507869161998842	0.507869161998842	0.137	0.102	0.102	3.812	0.00670820393249937	0.00670820393249937	0.09862	0.00228033857135295	0.00228226313119237	31.08	2.98	2.98	3.842	0.42143801442205	0.417929419878524	4.0597327	PMS	G	serenelli17	garcia14	3.61536482880102	1.71311906191954	1.35158855538002	8.72177849903558	Ast
55	KIC11229052	1.27	0.12	0.15	1.48	0.05	0.07	6495	51	51	3.473	0.296828763696417	0.296828763696417	-0.02	0.15	0.15	4.198	0.015	0.017	0.39	0.0122	0.012	7.98	0.7	0.7	2.8	1.5	1	3.5366437	MS	F	C14sdss	garcia14	10.6299212598425	4.05405405405405	0.785219399538106	8.54675392157839	Ast
56	KIC11244118	1.127	0.043139309220246	0.0445982062419555	1.605	0.0226715680975093	0.0233452350598575	5618	64	64	2.497	0.216228303190798	0.216228303190798	0.224	0.1	0.1	4.079	0.00781024967590665	0.00781024967590665	0.2727	0.00483791983811224	0.00488226840822993	23.17	3.89	3.89	7.799	1.31386605101129	1.22958082288233	4.1115172	PMS	G	serenelli17	garcia14	3.89252508705419	1.4335452696999	1.13919544321823	8.659523555899	Ast
57	KIC11253226	1.3655	0.0469	0.0469	1.5939	0.0208	0.0208	6642	77	77	4.515	0.294	0.294	-0.08	0.1	0.1	4.1679	0.0046	0.0046	0.337191960798239	0.00312477806973937	0.00312477806973937	3.64	0.37	0.37	1.7264	0.2365	0.2365	3.4402852	MS	F	silva17	garcia14	3.43463932625412	1.3049752180187	1.15928937067148	6.51162790697674	Ast
58	KIC11294717	1.139	0.058309518948453	0.0564623768539724	1.897	0.085146931829632	0.0793095202355934	5640	56	56	4.259	0.376155693776775	0.376155693776775	0.061	0.1	0.1	3.938	0.0241867732448957	0.0251793566240283	0.1663	0.016768316433083	0.0159184935216873	42.32	5.43	5.43	6.927	1.09722422503333	1.01860934611852	4.0970962	PMS	G	serenelli17	garcia14	5.03827461819251	4.33464554731749	0.99290780141844	8.83201910722645	Ast
59	KIC11389393	1.403	0.0827586853448023	0.142270868416553	1.905	0.0721110255092798	0.0754718490564528	6174	66	66	4.74	0.376421965088296	0.376421965088296	0.14	0.1	0.1	4.019	0.0152970585407784	0.0162788205960997	0.2003	0.0116817260710907	0.0110960364094572	14.69	0.74	0.74	2.947	1.43045517231404	0.720834238920433	3.7470592	MS	F	serenelli17	garcia14	8.01958495229347	3.87356626156778	1.0689990281827	7.94139166852946	Ast
60	KIC11389437	1.192	0.101921538449927	0.0488262224629348	1.69	0.0470106370941726	0.0355105618091294	6158	53	53	3.883	0.31150081620951	0.31150081620951	-0.023	0.099	0.099	4.059	0.0117046999107196	0.010770329614269	0.247	0.00700062261516788	0.00724416730894587	12.38	1.07	1.07	4.837	0.747243601511582	1.31885897653995	3.7575472	MS	F	serenelli17	garcia14	6.32331211882811	2.44145558885509	0.860669048392335	8.02216884392247	Ast
61	KIC11401708	1.447	0.0427200187265877	0.0496487663492256	2.563	0.0353836120259083	0.0384187454245971	5859	63	63	8.962	0.793015564335124	0.793015564335124	0.206	0.1	0.1	3.78	0.00721110255092798	0.00721110255092798	0.08596	0.00181622245333549	0.00178874928371754	15.76	2.51	2.51	3.019	0.298804283771167	0.256750851994692	3.9535417	PMS	G	serenelli17	garcia14	3.19173410766459	1.43976506926464	1.0752688172043	8.84864499369699	Ast
63	KIC11414712	1.228	0.046690470119715	0.0585234995535981	2.288	0.0376430604494374	0.0431856457633784	5673	61	61	5.326	0.450866118759589	0.450866118759589	-0.174	0.1	0.1	3.807	0.00781024967590665	0.00781024967590665	0.1025	0.002124631320959	0.0021266058967284	37.46	4.22	4.22	4.711	0.525038093856055	0.39525181846514	4.0754647	PMS	G	serenelli17	garcia14	4.28395641992317	1.76636158681853	1.0752688172043	8.46537962372492	Ast
64	KIC11453915	1.25	0.06	0.09	1.22	0.03	0.03	6608	58	58	2.146	0.178748413158158	0.178748413158158	-0.12	0.15	0.15	4.359	0.011	0.013	0.6846	0.028	0.0264	24.255	0.013	0.013	0.4	1	0.6	3.4625722	MS	F	C14sdss	nielsen13	6	2.45901639344262	0.87772397094431	8.32937619562713	Ast
65	KIC11454149	1.141	0.0558032257132148	0.0566127194188726	1.153	0.0300832179129827	0.0291547594742265	6435	52	52	1.866	0.155988512475549	0.155988512475549	-0.233	0.1	0.1	4.37	0.0167630546142402	0.0177200451466694	0.7441	0.0365794850155111	0.0467107334988437	8.11	0.96	0.96	1.5	1.08622741633601	1.03338376221034	3.5759737	MS	F	serenelli17	garcia14	4.92620267888201	2.56886285287117	0.808080808080808	8.35951299440241	Ast
66	KIC11456910	1.3	0.11	0.17	1.71	0.07	0.08	6386	61	61	3.678	0.320896124935965	0.320896124935965	-0.26	0.15	0.15	4.082	0.019	0.02	0.2591	0.0157	0.0152	22.56	3.4	3.4	3.6	1.4	0.8	3.6080932	MS	F	C14sdss	garcia14	10.7692307692308	4.3859649122807	0.955214531788287	8.72474510429487	Ast
67	KIC11467550	1.247	0.0702922470831599	0.0715891053163818	1.968	0.0696419413859206	0.067955868032128	6146	58	58	5.592	0.484249154875977	0.484249154875977	-0.08	0.1	0.1	3.945	0.0182482875908947	0.0182482875908947	0.1635	0.0114645376705736	0.0110265644694982	14.48	2.28	2.28	4.247	0.630635393868755	0.557096939499761	3.7654132	MS	F	serenelli17	garcia14	5.68890747391907	3.49587930432034	0.94370322160755	8.65967730464909	Ast
68	KIC11506988	1.251	0.168077363139716	0.114284732138637	1.872	0.0677421582177598	0.0643506021727847	6438	289	289	6.784	0.616199472594074	0.616199472594074	-0.23	0.1	0.1	3.994	0.0278926513619627	0.0230867927612304	0.1924	0.0101672820537251	0.00959113681270369	14.17	1.63	1.63	3.608	1.65201573842382	1.66636490601549	3.5740072	MS	F	serenelli17	garcia14	11.2854554467767	3.5281186001748	4.48897173035104	9.08312901819094	Ast
